product_id,product_title,rating,summary,review,location,date,upvotes,downvotes
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Simply awesome,"Writing this review after using this product for two weeks , so u can find ur neck band ,Prose :-* A loude and clear music* Amazing Bass quality , 12.4mm driv just blows up mind  clear Instrument sounds* Good batry back up * Nice build quality, and hand free usage design of buds is good fits in ear , * Clear voice calls Cons ;- * Heavy bass sometimes suppress vocals * Absence of Quick switch option ☹️* BLUTOOTH V5.OOver All Like me other bass or loud music lovers , Don't think jus...",Dharwad,5 months ago,410,88
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",4,Nice product,"👉Sound quality is excellent, Bass is awesome, balanced bass and treble,👉Build quality is good but One Plus Z Bass Edition has better build quality in comparison of this,👉Battery backup is awesome, as per commitment it is actual approximately 28 hours,👉Wire texture looks premium quality, very comfortable,👉Overall value for money neckband wireless earphone in this price segment, don't go with bad reviews, its really awesome..",Varanasi,5 months ago,2397,610
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Simply awesome,Excellent product. Superb bass. Worth for money. Full clear and crisp sound. Battery is very powerful.,Bengaluru,6 months ago,1615,439
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Simply awesome,Superb product actually I won’t prefer wireless headphones but i loved this one ❤️.. base i nice not too much high and vocals are superb just go for it,Bengaluru,6 months ago,748,195
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Mind-blowing purchase,"This is worth every penny you spend. I doesn't disappoint in any way. Delivery was 2 days and charged it before using and I have been using it for 10 hours straight and its still 90% charge. I don't know currently how much time it would last, though I won't count till then because I trust the brand and so far battery looks awesome.The sound quality is different from the boat rockerz I was using as it consists more mettalic type of bass and it feels amazing. Its easy to use, by just seperatin...",Ramanagara,6 months ago,681,194
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",3,Does the job,"As a matter of giving review about this product , i m using dis from three week so giving 3 out of 5 because one plus didn't improve the sound quality at all , they r giving same sound quality as the previous version except the bass , bass is Little bit high . And most of all the battery life is good from the last version ( base edition) but not as good as they are claiming 30 hours , it is hardly giving 15-16hours battery backup . That's why I am giving the 3 stars . For same sound quality a...",Hapur,5 months ago,132,36
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Best in the market!,"Am never feel the experience of wireless earphones before it so it's my first bought to go for OnePlus brand even it's from china... Well i love the sound quality, still have to check the battery backup but it's works awesome... Very light weight... Price is need to little low but it's fine to go for it... And i loved it... 🤘😃",Rurki Kasba,4 months ago,156,59
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Classy product,Wireless Bullets are first impressions are impressive this price. Never come this price with this quality and sound was awesome.1. Sound was amazing I am Sony wire headset. Since 5 years I will see lot of head set i don't like 2. Build quality was good.3. Actually iam bass lover iam waiting for best bass in  wireless bullets with best quality this is right one for bass lovers.4. Price is worth bull.5. You can choose this one.,Thane District,6 months ago,269,134
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",1,Worthless,Don't buy this product during the call other ends voice is very low... And on the TOP of FLIPKART will never support in rufunds. This is geniune feedback after using the working product after few days.. for music listening this headphone has great voice output.,New Delhi,4 months ago,251,150
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Fabulous!,"I will say in one word it is fantastic, awesome, fabulous & marvellous it is one of the good & best bluethoot neckband because of the sound, the bass, the mic, the battery, the call quality & the way of design is very very very good for the year of 2022 the oneplus bluethoot is more far better than other bluethoot neckband so it called by the people one is all i, e oneplus bluethoot wireless z2 overall it is very good product so I am really happy & fully satisfied with this product so guys it...",Srikakulam,6 months ago,22,8
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",5,Brilliant,Battery Backup                -   Excellent Charging Speed               - Excellent Sound Quality                  - Excellent Build Quality                     - Very GoodAudio of Video Latency.  - Fair  Fair / Good / Very Good / Excellent,Central Delhi,6 months ago,59,13
ACCGC4GN5SQR7ZCZ,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset",2,Moderate,1. In terms of build quality: poor. Oneplus Bullets wireless  z was 10 times better then this. Price was same of this. But that was more comfortable around your neck & the quality of rubbing so good. But in this one you will find no difference between Oneplus and any other brand's neck band.2. Connectivity: I bought it recently 2 days back and I'm already facing connectivity issue. After detaching these ear burds it should be auto connect to your phone but sometimes it's not working. Also it...,Kolkata,2 months ago,29,16
